sid,FS_headline_cert,FS_headline_lcb,FS_matched_cert,FS_matched_lcb,BOX250_cert,BOX250_lcb,BOX250_ucb,BOX250_width,BOX500_cert,BOX500_lcb,BOX500_ucb,BOX500_width,BOX1000_cert,BOX1000_lcb,BOX1000_ucb,BOX1000_width,BOX2000_cert,BOX2000_lcb,BOX2000_ucb,BOX2000_width
officehome_convnext_full__split00__seed2,1,0.21867284647584498,1,0.21770345278617328,1,0.2578672878080236,0.17548215680151502,0.1545238736811917,1,0.25701436420391865,0.1752917159831332,0.1078458344972261,1,0.26144390579490806,0.1752497223631494,0.07670271004662585,1,0.2644077433598837,0.1743455666151017,0.053904608504305646
officehome_convnext_full__split00__seed3,1,0.1430744369425822,1,0.14196031082434682,1,0.2704272057344612,0.18014205563966756,0.15222023570517873,1,0.27646557111131953,0.17776358280962462,0.10803818195010548,1,0.27941456371416157,0.17839821300826866,0.07631603921369422,1,0.2801049555269373,0.1776389680839957,0.05418860551163227
officehome_convnext_full__split00__seed4,1,0.20381404435430067,1,0.20251800185197966,1,0.2690834529030407,0.19768754785951675,0.15376722665462622,1,0.27574822494302903,0.19727608026781857,0.10857605377255412,1,0.2764319364233123,0.19580272004352334,0.07668909177620606,1,0.2811676953116735,0.1955424111865422,0.05401658673872016
officehome_convnext_full__split01__seed0,1,0.08424854590934609,1,0.08341965079847449,1,0.1788140586363499,0.19030759419867666,0.1550808210146809,1,0.1800481824074497,0.18658807278977602,0.10915219406196845,1,0.1879490492881798,0.1864607885797498,0.07678904465246089,1,0.19491645782376926,0.18560140160472577,0.05401385561904486
officehome_convnext_full__split01__seed1,1,0.08731253060325736,0,0.0,1,0.2063381199480575,0.19212733356774248,0.15502714714985733,1,0.2149245274423262,0.1897630293265989,0.10882653617524984,1,0.21804826648427778,0.18811221371082248,0.07723060426534126,1,0.22434908654669533,0.18558860413070866,0.05424081485889429
officehome_convnext_full__split01__seed2,1,0.10589643735940987,1,0.10497097361887357,1,0.17880303162178277,0.18324472754646728,0.15425139530677806,1,0.1833996251533771,0.1814598158449311,0.10897741674121282,1,0.18950284797671646,0.18118467029445334,0.07685586367634281,1,0.18995778179287584,0.17879980206461277,0.05405291582137288
officehome_convnext_full__split01__seed3,1,0.10122033878276188,1,0.10031453860099235,1,0.1816706615627376,0.17536225382673737,0.1531659117267174,1,0.18493830565613847,0.1741796747307925,0.10916908172627002,1,0.18558431425679436,0.172418994549558,0.0767996183321307,1,0.19060494249480783,0.1721556653944675,0.054244339993999385
officehome_convnext_full__split01__seed4,1,0.15033573793590035,1,0.14924880592664994,1,0.1871762069655482,0.19616376600455504,0.15464557930781503,1,0.19918694388175118,0.195927612170527,0.10901906263556752,1,0.20379949660729432,0.19541761566541505,0.07669616948673183,1,0.20205469925774727,0.19405662787955458,0.054075119854125595
officehome_convnext_full__split02__seed0,1,0.157815489749388,1,0.15667943263086173,1,0.2537305540365079,0.19562094931412416,0.15459102685949325,1,0.26146493538226423,0.19198510628223478,0.1080847018183244,1,0.26019996752754443,0.19086871204823436,0.07676422255503579,1,0.26293601125896454,0.19013623335933183,0.054205041162978765
officehome_convnext_full__split02__seed1,1,0.19708012817637616,1,0.1958321290029397,1,0.2572366517641558,0.19386893105546898,0.15368736340298775,1,0.2598640381668895,0.19138113037414428,0.10830656216369788,1,0.26214653145309214,0.19134397827618627,0.07670665451050737,1,0.26661965505440394,0.19047992736645586,0.05386693583328943
officehome_convnext_full__split02__seed2,1,0.20225289080324438,1,0.20099171900093651,1,0.2457669491700951,0.1822479084023907,0.1548590616707055,1,0.2464698181701888,0.1831476097855974,0.10892557243417021,1,0.25220964402175783,0.17997138141172603,0.07661933263671,1,0.2548812941835813,0.17960121802818252,0.05387783939387553
officehome_convnext_full__split02__seed3,1,0.22837397017167985,1,0.22738852309123778,1,0.2749159543551034,0.1865335283225113,0.15440039151592894,1,0.2767820407814983,0.18518445790426843,0.10869493659049426,1,0.28061935854343795,0.18389938153201185,0.07682653156903113,1,0.28579947608386724,0.18368566189413293,0.054190300118733506
officehome_convnext_full__split02__seed4,1,0.21263096621315716,1,0.2113443566045863,1,0.2524980608707723,0.1695337755252531,0.1543396203437824,1,0.2509588037265939,0.16699482162322007,0.1089103735925204,1,0.25908026274315554,0.16652064880680525,0.07657844467531069,1,0.2605376065464065,0.1655447100899058,0.05397223861408672
officehome_convnext_full__split03__seed0,1,0.1425659097793796,1,0.14150342665066093,1,0.2281703335080077,0.1779193637920729,0.1536277284121655,1,0.2368495463240548,0.1765064560183458,0.10845165757134212,1,0.23996095873199783,0.17630415586447934,0.07671462974472434,1,0.23963382001860786,0.17675798206374843,0.05440419487735529
officehome_convnext_full__split03__seed1,1,0.1313680270709738,1,0.1303440936442266,1,0.12372928846403702,0.18270650254063853,0.15431608960081258,1,0.12677028935581497,0.18104455789612478,0.108721168982562,1,0.1314634686304149,0.1766905138883712,0.07690925684351657,1,0.13440431852473114,0.17466026437995136,0.05419341803976833
officehome_convnext_full__split03__seed2,1,0.09209422325722294,1,0.09122789488088925,1,0.126408221349629,0.17042588804074288,0.15452979497741182,1,0.13614415131853477,0.16326650767692558,0.10822937001742315,1,0.23236601642712548,0.1997491964588827,0.07669288101984553,1,0.23294192493092963,0.19890325439969186,0.0541674967478712
officehome_convnext_full__split03__seed3,1,0.11866983991716755,1,0.11769272280207109,1,0.1767383466952844,0.17606791159715673,0.15381252315824834,1,0.22271766010810326,0.19853738034808494,0.10911773250611487,1,0.22913806784006432,0.1983746295869476,0.07644567194341205,1,0.23216926356420856,0.19716993839640595,0.05426943098880716
officehome_convnext_full__split03__seed4,1,0.113937551615588,1,0.11297880966179902,1,0.20342686856265396,0.18577646217645444,0.1538861198260927,1,0.21665037537007512,0.18538232164287982,0.10878998379074767,1,0.21957542107272085,0.18363876423330783,0.0765425966979414,1,0.22373725783953688,0.1836282032670145,0.05415026958945033
officehome_convnext_full__split04__seed0,1,0.16978655553460917,1,0.16890354094644353,1,0.2289507900852806,0.18169393500365788,0.15296188829024834,1,0.23171226292527575,0.18046476009806822,0.10803081899271441,1,0.2309175294465969,0.17955052218122897,0.07624966760596324,1,0.2356438161318607,0.18004567673441324,0.05409582438300188
officehome_convnext_full__split04__seed1,1,0.11162804582551253,1,0.11064879577948122,1,0.14743335604449526,0.15734483570364097,0.15435530041806034,1,0.20115594217046323,0.19953752647381745,0.10865071424051058,1,0.20549447717388425,0.19675742833362264,0.07678443472665476,1,0.21042255746922328,0.1960598016859968,0.05398892186461371
officehome_convnext_full__split04__seed2,1,0.1775571091172825,1,0.1766574234159984,1,0.22150061835813653,0.19432010124093557,0.15616263652085446,1,0.23102074568780456,0.19364812361589023,0.10975627226942121,1,0.23549741318157566,0.18982350745015522,0.07644689668260819,1,0.2424867771101901,0.1907773259721007,0.05397716475437213
officehome_convnext_full__split04__seed3,0,0.0,0,0.0,1,0.10624310056781232,0.1787852567346912,0.1548471682132176,1,0.11068614045198333,0.17422354002660007,0.10895980281520129,1,0.11741710208300513,0.1685604147647724,0.07617361800651085,1,0.1185702244851769,0.1682215136298549,0.05396374002285688
officehome_convnext_full__split04__seed4,0,0.0,0,0.0,1,0.20057809817144673,0.1707316237543495,0.15285385812848296,1,0.20223612329848029,0.16665023656802036,0.10811906631444386,1,0.20507395459495867,0.1621625130020512,0.07633199654019336,1,0.20628319503511905,0.16096150229558315,0.053909888171605955
officehome_convnext_full__split05__seed0,1,0.1416323291327469,1,0.14055905714773034,1,0.2199893119760846,0.16419926410592575,0.15243634483051222,1,0.21501743283166894,0.16047995243614827,0.10979614188530895,1,0.22590134102788426,0.16092544288709637,0.0767910501813214,1,0.2261234593093806,0.16011998784075948,0.05427544833351137
officehome_convnext_full__split05__seed1,1,0.21014199156621519,1,0.209180601290398,1,0.25270880363530657,0.18454733007579904,0.15501206529580075,1,0.25546227940995336,0.1828239871187755,0.10889601516824146,1,0.2601860604030405,0.1826439331243408,0.07708003797093319,1,0.26604148091897506,0.17996163738678872,0.05390917970849247
officehome_convnext_full__split05__seed2,1,0.2103188289596427,1,0.20904925357946688,1,0.25485121738280736,0.19263316550946313,0.15389472638470808,1,0.2555298425046769,0.18994959576487314,0.10911482099287056,1,0.2637713859999989,0.1868241312539863,0.07666184615398008,1,0.26360099678560367,0.18588554636987942,0.05412476965207579
officehome_convnext_full__split05__seed3,1,0.18157075276394424,1,0.180375099800101,1,0.23906731663256892,0.19774624328443485,0.15437381409953393,1,0.23898973093482334,0.198261429402203,0.1086604580566885,1,0.2468881127249265,0.19630816017116923,0.07660717200842183,1,0.262917882310323,0.19878946690936666,0.0543334686482565
officehome_convnext_full__split05__seed4,1,0.15983457613948102,1,0.15870235119877593,1,0.19304720518262253,0.17990326271071183,0.1529342059298347,1,0.19449802050535075,0.18218180203840756,0.10922259024920423,1,0.22501349841645604,0.19828991408849672,0.07630116456549775,1,0.22454490878307792,0.1967828029993387,0.054262105672921
