semantic_id,dataset,best_auroc,best_fpr95,H_certified,H_ecc
cifar10_proser_fedavg__split05__seed1__d0.5,cifar10,0.785912,0.82987,1,0.2898382094236966
cifar10_proser_fedavg__split05__seed1__d5.0,cifar10,0.75971,0.836364,1,0.3647263876560867
cifar10_proser_fedavg__split05__seed2__d0.1,cifar10,0.639778,0.935065,0,0.0
cifar10_proser_fedavg__split05__seed2__d0.5,cifar10,0.799599,0.837662,1,0.36661778828399627
cifar10_proser_fedavg__split05__seed2__d5.0,cifar10,0.828483,0.75974,1,0.44493136655352433
cifar10_proser_fedavg__split05__seed3__d0.1,cifar10,0.663675,0.937662,1,0.17537877301093394
cifar10_proser_fedavg__split05__seed3__d0.5,cifar10,0.800858,0.801299,1,0.3214786812219085
cifar10_proser_fedavg__split05__seed3__d5.0,cifar10,0.79035,0.824675,1,0.41419363821463323
cifar10_proser_fedavg__split05__seed4__d0.1,cifar10,0.714462,0.783117,0,0.0
cifar10_proser_fedavg__split05__seed4__d0.5,cifar10,0.773141,0.832468,1,0.24750474988909962
cifar10_proser_fedavg__split05__seed4__d5.0,cifar10,0.769996,0.818182,1,0.19858757781503497
cifar10_proser_fedavg__split06__seed0__d0.1,cifar10,0.577157,0.911688,0,0.0
cifar10_proser_fedavg__split06__seed0__d0.5,cifar10,0.75589,0.785714,1,0.0889210237552595
cifar10_proser_fedavg__split06__seed0__d5.0,cifar10,0.795426,0.727273,1,0.3722974188689161
cifar10_proser_fedavg__split06__seed1__d0.1,cifar10,0.723684,0.864935,1,0.19142066384342218
cifar10_proser_fedavg__split06__seed1__d0.5,cifar10,0.786753,0.793506,1,0.3628358945728069
cifar10_proser_fedavg__split06__seed1__d5.0,cifar10,0.807973,0.741558,1,0.410367196520659
cifar10_proser_fedavg__split06__seed2__d0.1,cifar10,0.686189,0.854545,0,0.0
cifar10_proser_fedavg__split06__seed2__d0.5,cifar10,0.774014,0.798701,1,0.40081649647370454
cifar10_proser_fedavg__split06__seed2__d5.0,cifar10,0.819926,0.681818,1,0.3704033055002117
cifar10_proser_fedavg__split06__seed3__d0.1,cifar10,0.702836,0.818182,0,0.0
cifar10_proser_fedavg__split06__seed3__d0.5,cifar10,0.793536,0.719481,1,0.17715528197822153
cifar10_proser_fedavg__split06__seed3__d5.0,cifar10,0.754624,0.82987,0,0.0
cifar10_proser_fedavg__split06__seed4__d0.1,cifar10,0.55692,0.903896,0,0.0
cifar10_proser_fedavg__split06__seed4__d0.5,cifar10,0.670948,0.779221,0,0.0
cifar10_proser_fedavg__split06__seed4__d5.0,cifar10,0.753072,0.761039,0,0.0
cifar10_proser_fedavg__split07__seed0__d0.1,cifar10,0.496307,0.946753,0,0.0
cifar10_proser_fedavg__split07__seed0__d0.5,cifar10,0.692981,0.888312,0,0.0
cifar10_proser_fedavg__split07__seed0__d5.0,cifar10,0.639848,0.906494,0,0.0
cifar10_proser_fedavg__split07__seed1__d0.1,cifar10,0.659769,0.877922,0,0.0
cifar10_proser_fedavg__split07__seed1__d0.5,cifar10,0.688495,0.832468,1,0.06911340878955945
cifar10_proser_fedavg__split07__seed1__d5.0,cifar10,0.694025,0.85974,0,0.0
cifar10_proser_fedavg__split07__seed2__d0.1,cifar10,0.491609,0.932468,0,0.0
cifar10_proser_fedavg__split07__seed2__d0.5,cifar10,0.715695,0.846753,0,0.0
cifar10_proser_fedavg__split07__seed2__d5.0,cifar10,0.689577,0.848052,0,0.0
cifar10_proser_fedavg__split07__seed3__d0.1,cifar10,0.534108,0.887013,0,0.0
cifar10_proser_fedavg__split07__seed3__d0.5,cifar10,0.665061,0.835065,0,0.0
cifar10_proser_fedavg__split07__seed3__d5.0,cifar10,0.640267,0.902597,0,0.0
cifar10_proser_fedavg__split07__seed4__d0.1,cifar10,0.485937,0.954545,0,0.0
cifar10_proser_fedavg__split07__seed4__d0.5,cifar10,0.571532,0.923377,0,0.0
cifar10_proser_fedavg__split07__seed4__d5.0,cifar10,0.683651,0.851948,0,0.0
cifar10_proser_fedavg__split08__seed0__d0.1,cifar10,0.675515,0.718182,0,0.0
cifar10_proser_fedavg__split08__seed0__d0.5,cifar10,0.676734,0.892208,0,0.0
cifar10_proser_fedavg__split08__seed0__d5.0,cifar10,0.627916,0.901299,0,0.0
cifar10_proser_fedavg__split08__seed1__d0.1,cifar10,0.67327,0.903896,0,0.0
cifar10_proser_fedavg__split08__seed1__d0.5,cifar10,0.661566,0.877922,0,0.0
cifar10_proser_fedavg__split08__seed1__d5.0,cifar10,0.654986,0.876623,0,0.0
cifar10_proser_fedavg__split08__seed2__d0.1,cifar10,0.682461,0.866234,0,0.0
cifar10_proser_fedavg__split08__seed2__d0.5,cifar10,0.722234,0.788312,0,0.0
cifar10_proser_fedavg__split08__seed2__d5.0,cifar10,0.668281,0.844156,0,0.0
cifar10_proser_fedavg__split08__seed3__d0.1,cifar10,0.686058,0.836364,0,0.0
cifar10_proser_fedavg__split08__seed3__d0.5,cifar10,0.677519,0.855844,0,0.0
cifar10_proser_fedavg__split08__seed3__d5.0,cifar10,0.601494,0.906494,0,0.0
cifar10_proser_fedavg__split08__seed4__d0.1,cifar10,0.535189,0.949351,0,0.0
cifar10_proser_fedavg__split08__seed4__d0.5,cifar10,0.620543,0.881818,0,0.0
cifar10_proser_fedavg__split08__seed4__d5.0,cifar10,0.653001,0.871429,0,0.0
cifar10_proser_fedavg__split09__seed0__d0.1,cifar10,0.674374,0.945455,0,0.0
cifar10_proser_fedavg__split09__seed0__d0.5,cifar10,0.656299,0.835065,0,0.0
cifar10_proser_fedavg__split09__seed0__d5.0,cifar10,0.781131,0.767532,1,0.40081649647370454
cifar10_proser_fedavg__split09__seed1__d0.1,cifar10,0.62245,0.922078,0,0.0
cifar10_proser_fedavg__split09__seed1__d0.5,cifar10,0.798292,0.75974,1,0.37608834742585173
cifar10_proser_fedavg__split09__seed1__d5.0,cifar10,0.782055,0.796104,1,0.3590576379982162
cifar10_proser_fedavg__split09__seed2__d0.1,cifar10,0.730618,0.883117,0,0.0
cifar10_proser_fedavg__split09__seed2__d0.5,cifar10,0.674571,0.871429,0,0.0
cifar10_proser_fedavg__split09__seed2__d5.0,cifar10,0.806709,0.722078,1,0.3950966701610924
