semantic_id,dataset,d,audit_n_per_client,n_cells,n_cell_replicates,certified_count,certification_rate,effective_certified_acceptance,conditional_certified_acceptance
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,0.1,514,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,0.1,1028,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed3__d0.5,cifar100,0.5,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed3__d0.5,cifar100,0.5,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed3__d0.5,cifar100,0.5,514,1.0,200.0,14.0,0.07,0.004943578528975538,0.07062255041393625
cifar100_proser_fedavg__split01__seed3__d0.5,cifar100,0.5,1028,1.0,200.0,140.0,0.7,0.06683874547931365,0.09548392211330523
cifar100_proser_fedavg__split01__seed3__d5.0,cifar100,5.0,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed3__d5.0,cifar100,5.0,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed3__d5.0,cifar100,5.0,514,1.0,200.0,71.0,0.355,0.025663202672033786,0.07229071175220783
cifar100_proser_fedavg__split01__seed3__d5.0,cifar100,5.0,1028,1.0,200.0,199.0,0.995,0.1326827763520096,0.13334952397186892
cifar100_proser_fedavg__split01__seed4__d0.1,cifar100,0.1,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed4__d0.1,cifar100,0.1,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed4__d0.1,cifar100,0.1,514,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed4__d0.1,cifar100,0.1,1028,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed4__d0.5,cifar100,0.5,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed4__d0.5,cifar100,0.5,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed4__d0.5,cifar100,0.5,514,1.0,200.0,13.0,0.065,0.0046884191377631265,0.07212952519635576
cifar100_proser_fedavg__split01__seed4__d0.5,cifar100,0.5,1028,1.0,200.0,130.0,0.65,0.0640886864754481,0.09859797919299709
cifar100_proser_fedavg__split01__seed4__d5.0,cifar100,5.0,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed4__d5.0,cifar100,5.0,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed4__d5.0,cifar100,5.0,514,1.0,200.0,76.0,0.38,0.034987292841854395,0.09207182326803788
cifar100_proser_fedavg__split01__seed4__d5.0,cifar100,5.0,1028,1.0,200.0,194.0,0.97,0.1328623840679705,0.1369715299669799
cifar100_proser_fedavg__split02__seed0__d0.1,cifar100,0.1,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed0__d0.1,cifar100,0.1,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed0__d0.1,cifar100,0.1,514,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed0__d0.1,cifar100,0.1,1028,1.0,200.0,38.0,0.19,0.006338433237444003,0.0333601749339158
cifar100_proser_fedavg__split02__seed0__d0.5,cifar100,0.5,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed0__d0.5,cifar100,0.5,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed0__d0.5,cifar100,0.5,514,1.0,200.0,12.0,0.06,0.005395950098939704,0.08993250164899504
cifar100_proser_fedavg__split02__seed0__d0.5,cifar100,0.5,1028,1.0,200.0,135.0,0.675,0.07151812915700051,0.10595278393629705
cifar100_proser_fedavg__split02__seed0__d5.0,cifar100,5.0,128,1.0,200.0,0.0,0.0,0.0,
