semantic_id,dataset,condition,d,arm,alpha,J,M,delta_r,delta_c,legacy_eps_c,theorem_eps_c,holm_min_iut_pvalue,holm_n_risk_rejected,legacy_n_certified_candidates,theorem_n_certified_candidates,coverage_allocation_change,legacy_certified,legacy_selected_index,legacy_selected_score,legacy_selected_gamma,legacy_coverage_lcb,legacy_selected_iut_pvalue,theorem_certified,theorem_selected_index,theorem_selected_score,theorem_selected_gamma,theorem_coverage_lcb,theorem_selected_iut_pvalue,archive_convention_holm_reported_pvalue,selection_changed,certification_transition,archive_available,archive_holm_match,archive_simultaneous_match,archive_match_all
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.2,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.3320413933267723,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.3320413933267723,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.25,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.12924965635793884,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.12924965635793884,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.3,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.020799973368403345,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.020799973368403345,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.5,proser_fedavg,0.05,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.9138616441006836,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.9138616441006836,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.5,proser_fedavg,0.1,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.671047965015082,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.671047965015082,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.5,proser_fedavg,0.15,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.22453516640321552,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.22453516640321552,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.5,proser_fedavg,0.2,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.10309555453285166,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.10309555453285166,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.5,proser_fedavg,0.25,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.007181720972862961,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.007181720972862961,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.5,proser_fedavg,0.3,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.0013693066173963966,2,2,2,delta_c/(M J) -> delta_c/M,1,8.0,margin,0.3,0.0830263553837871,0.0013693066173963966,1,8.0,margin,0.3,0.0889210237552595,0.0013693066173963966,0.0013693066173963966,0,1->1,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,5.0,proser_fedavg,0.05,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.857375,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.857375,0,0->0,1,1.0,1.0,1.0
