semantic_id,dataset,condition,selected_candidate_index,selected_score,selected_slot,selected_gamma,selected_threshold,selected_selector_sha256,evaluation_n,evaluation_A,evaluation_K,evaluation_coverage,pooled_evaluation_risk,worst_client_evaluation_risk,clients_with_zero_acceptance,accepted_known,known_accepted_errors,unknown_total,unknown_false_acceptances,unknown_share_of_accepted_errors,A_by_client,K_by_client,n_by_client,pooled_risk_le_alpha,worst_client_risk_le_alpha,proposal_certification_id_overlap,proposal_evaluation_id_overlap,certification_evaluation_id_overlap
cifar10_proser_fedavg__split03__seed0__d5.0,cifar10,d5,1,proser,native,0.5,0.9737752430813768,bf9b7099d3532d652f6dee446fb6901112a95d8beb0adc16cf2d807e845e9859,2570,1117,104,0.43463035019455254,0.09310653536257833,0.11061946902654868,0,1021,8,770,96,0.9230769230769231,"[218,238,217,226,218]","[15,26,19,25,19]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split03__seed1__d0.5,cifar10,d0.5,9,margin,margin,0.5,0.999900042811365,04875613351a9522ac2c22972f5a2b5962b8973b2a44fcd9fb9fbb06390c0d61,2570,1048,110,0.40778210116731517,0.1049618320610687,0.11224489795918367,0,943,5,770,105,0.9545454545454546,"[196,204,225,212,211]","[22,21,25,21,21]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split03__seed1__d5.0,cifar10,d5,9,margin,margin,0.5,0.999995768070221,30bdb3a455422822a0bcf3e18e1d6f9a0afcc77d47496665a703bb372cd339d9,2570,1048,107,0.40778210116731517,0.10209923664122138,0.13122171945701358,0,943,2,770,105,0.9813084112149533,"[195,221,220,213,199]","[19,29,25,18,16]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split03__seed2__d0.5,cifar10,d0.5,5,energy,energy,0.5,5.459087832715597,d0a1c1005c72f4ba7c0c405ce61bd5a4df3c0bf20f8725b1a146ea2a28f7dd83,2570,1091,93,0.4245136186770428,0.08524289642529789,0.11483253588516747,0,1000,2,770,91,0.978494623655914,"[224,226,211,221,209]","[22,17,14,16,24]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split03__seed2__d5.0,cifar10,d5,4,energy,energy,0.3,7.158306131394811,d3cf80c3e878cc4701ec5f319b7dd28e8f3c866652fb7d9b8809856fead86862,2570,799,56,0.31089494163424125,0.07008760951188986,0.11801242236024845,0,746,3,770,53,0.9464285714285714,"[171,164,157,146,161]","[12,9,9,7,19]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split03__seed3__d0.5,cifar10,d0.5,0,proser,native,0.3,0.9861017130689079,a2ae564a1475e8e42ba62165e5fe7cee9439aa1c3993af3c7634890644fb40e0,2570,620,35,0.24124513618677043,0.056451612903225805,0.09917355371900827,0,586,1,770,34,0.9714285714285714,"[119,128,138,121,114]","[6,6,7,12,4]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split03__seed3__d5.0,cifar10,d5,4,energy,energy,0.3,7.8376307264219545,663647f53a9ba653a9e61790d4c3b4e342c42f80b218604359afd6c764db021c,2570,664,26,0.25836575875486384,0.0391566265060241,0.07258064516129033,0,639,1,770,25,0.9615384615384616,"[136,131,146,124,127]","[5,3,7,9,2]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split03__seed4__d0.5,cifar10,d0.5,9,margin,margin,0.5,0.9995118642730457,a7cedcf6daeaacec10c44ad01854b3a02dcac7de49244f2ac6f2c8d348f92848,2570,824,85,0.32062256809338524,0.10315533980582524,0.1144578313253012,0,750,11,770,74,0.8705882352941177,"[160,166,168,152,178]","[15,19,19,14,18]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split03__seed4__d5.0,cifar10,d5,5,energy,energy,0.5,6.498277753491863,3191c27161ba3460676b09c61509b571675d531d35df3cefb79faf7eb22fd6df,2570,1035,94,0.4027237354085603,0.09082125603864734,0.11904761904761904,0,951,10,770,84,0.8936170212765957,"[204,220,199,202,210]","[16,20,20,13,25]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split04__seed0__d5.0,cifar10,d5,8,margin,margin,0.3,0.9999919368271843,f87ed81ea3259883327da253a7fb23e58183f01cedebef3677ab803e557c85d9,2570,908,57,0.35330739299610897,0.06277533039647577,0.08152173913043478,0,859,8,770,49,0.8596491228070176,"[184,182,177,176,189]","[15,14,13,10,5]","[514,514,514,514,514]",1,1,0,0,0
