semantic_id,dataset,condition,alpha,J,traffic_counts,simplex_certified,simplex_selected,simplex_risk_bound,simplex_coverage_lcb,bounded_certified,bounded_selected,bounded_risk_bound,bounded_coverage_lcb,gain
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,0.05,5,207|211|183|206|193,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,0.1,5,207|211|183|206|193,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,0.15,5,207|211|183|206|193,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,0.2,5,207|211|183|206|193,0,,,0.0,1,8,0.19556771742938384,0.10545183801164147,1
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,0.25,5,207|211|183|206|193,1,8,0.21528515954267655,0.11943241373769062,1,8,0.20989252858415824,0.12045142084425124,0
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,0.3,5,207|211|183|206|193,1,9,0.2855888659644213,0.19500134841768255,1,2,0.2987308815899694,0.257694444414582,0
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,0.05,5,203|199|207|191|200,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,0.1,5,203|199|207|191|200,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,0.15,5,203|199|207|191|200,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,0.2,5,203|199|207|191|200,1,9,0.18390945330077627,0.13497382023620927,1,9,0.19637493266218792,0.15452844627173615,0
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,0.25,5,203|199|207|191|200,1,9,0.2080972337257192,0.15594128738219837,1,9,0.21277766146835497,0.18455610133677544,0
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,0.3,5,203|199|207|191|200,1,9,0.238872975432746,0.1914206638434222,1,6,0.2959449331371695,0.25593011217246886,0
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,d0.1,0.05,5,207|211|194|193|195,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,d0.1,0.1,5,207|211|194|193|195,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,d0.1,0.15,5,207|211|194|193|195,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,d0.1,0.2,5,207|211|194|193|195,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,d0.1,0.25,5,207|211|194|193|195,1,0,0.23516794992788095,0.02136901710538746,0,,,0.0,-1
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,d0.1,0.3,5,207|211|194|193|195,1,9,0.26450904705992195,0.0707442363313486,1,9,0.2581886995369274,0.07440417275250634,0
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,d0.5,0.05,5,206|201|195|221|177,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,d0.5,0.1,5,206|201|195|221|177,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,d0.5,0.15,5,206|201|195|221|177,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,d0.5,0.2,5,206|201|195|221|177,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,d0.5,0.25,5,206|201|195|221|177,1,8,0.24066779914612707,0.08392338458148607,1,8,0.21955383866518638,0.08196245241690234,0
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,d0.5,0.3,5,206|201|195|221|177,1,8,0.2875975981914796,0.12115073228675065,1,8,0.2807449827937536,0.11680581548091154,0
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,d5,0.05,5,208|202|208|173|209,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,d5,0.1,5,208|202|208|173|209,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,d5,0.15,5,208|202|208|173|209,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,d5,0.2,5,208|202|208|173|209,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,d5,0.25,5,208|202|208|173|209,1,8,0.23412356184406316,0.09562685087665634,1,9,0.23830890592288484,0.1816108572042198,0
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,d5,0.3,5,208|202|208|173|209,1,9,0.27356892912935865,0.20038274402350834,1,9,0.26051797090316176,0.21009632719236918,0
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,d0.1,0.05,5,182|213|200|211|194,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,d0.1,0.1,5,182|213|200|211|194,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,d0.1,0.15,5,182|213|200|211|194,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,d0.1,0.2,5,182|213|200|211|194,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,d0.1,0.25,5,182|213|200|211|194,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,d0.1,0.3,5,182|213|200|211|194,0,,,0.0,0,,,0.0,0
