semantic_id,dataset,condition,d,arm,method,validity_status,alpha,delta_r,delta_c,J,selector_score,selector_gamma,selector_threshold,selector_proposal_feasible,selector_prop_coverage,selector_prop_risk,true_worst_client_risk,true_min_client_coverage,simulation_seed,B,ucb_coverage_count,empirical_ucb_coverage,certified_count,cert_rate,unsafe_certified_count,unsafe_cert_rate,unsafe_given_cert_rate,EffectiveCertCov,CondCertCov,effective_true_min_coverage,mean_ucb,ucb_q05,ucb_q50,ucb_q95
cifar10_proser_fedavg__split05__seed0__d0.1,cifar10,d0.1,0.1,proser_fedavg,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,5,margin,1.0,0.9284593829741846,1,0.033527696793002916,0.2,0.36,0.030155642023346304,2467782662,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.6645325260638424,0.5404558639111912,0.6550586340562968,0.8004238501161631
cifar10_proser_fedavg__split05__seed0__d0.1,cifar10,d0.1,0.1,proser_fedavg,bonferroni_delta_over_J,valid simultaneous per-client CP,0.2,0.05,0.05,5,margin,1.0,0.9284593829741846,1,0.033527696793002916,0.2,0.36,0.030155642023346304,2467782662,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.7365549383320167,0.6274346948854274,0.7357893973367388,0.8654330169418486
cifar10_proser_fedavg__split05__seed0__d0.1,cifar10,d0.1,0.1,proser_fedavg,pooled_CP_intentionally_invalid,invalid for worst-client target,0.2,0.05,0.05,5,margin,1.0,0.9284593829741846,1,0.033527696793002916,0.2,0.36,0.030155642023346304,2467782662,1000,758,0.758,0,0.0,0,0.0,,0.0,,0.0,0.3961351525952419,0.31465219098835573,0.395289691246843,0.4808475019579295
cifar10_proser_fedavg__split05__seed0__d0.5,cifar10,d0.5,0.5,proser_fedavg,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,5,margin,1.0,0.9989534391208635,1,0.3979591836734694,0.2,0.20551378446115287,0.38813229571984437,4111397264,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.2827575119685509,0.24918227693554862,0.2809363331913244,0.3224639457338034
cifar10_proser_fedavg__split05__seed0__d0.5,cifar10,d0.5,0.5,proser_fedavg,bonferroni_delta_over_J,valid simultaneous per-client CP,0.2,0.05,0.05,5,margin,1.0,0.9989534391208635,1,0.3979591836734694,0.2,0.20551378446115287,0.38813229571984437,4111397264,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.30497754888274387,0.27072600323363416,0.30315167467283455,0.34598551197555316
cifar10_proser_fedavg__split05__seed0__d0.5,cifar10,d0.5,0.5,proser_fedavg,pooled_CP_intentionally_invalid,invalid for worst-client target,0.2,0.05,0.05,5,margin,1.0,0.9989534391208635,1,0.3979591836734694,0.2,0.20551378446115287,0.38813229571984437,4111397264,1000,768,0.768,128,0.128,128,0.128,1.0,0.04980517363786215,0.38910291904579797,0.04968093385214008,0.2147594491985111,0.19337691931593204,0.2142482468819532,0.23610838842954812
cifar10_proser_fedavg__split05__seed0__d5.0,cifar10,d5,5.0,proser_fedavg,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,5,energy,1.0,3.367046195129089,1,0.6854227405247814,0.19821352615908125,0.2338935574229692,0.6780155642023347,667557360,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.28483722942345113,0.2589531721094891,0.28367954187100874,0.31403612789716806
cifar10_proser_fedavg__split05__seed0__d5.0,cifar10,d5,5.0,proser_fedavg,bonferroni_delta_over_J,valid simultaneous per-client CP,0.2,0.05,0.05,5,energy,1.0,3.367046195129089,1,0.6854227405247814,0.19821352615908125,0.2338935574229692,0.6780155642023347,667557360,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.30148811165683187,0.2752374862685659,0.30037585893801666,0.3311439845368557
cifar10_proser_fedavg__split05__seed0__d5.0,cifar10,d5,5.0,proser_fedavg,pooled_CP_intentionally_invalid,invalid for worst-client target,0.2,0.05,0.05,5,energy,1.0,3.367046195129089,1,0.6854227405247814,0.19821352615908125,0.2338935574229692,0.6780155642023347,667557360,1000,297,0.297,1,0.001,1,0.001,1.0,0.0006603513587966637,0.6603513587966637,0.0006780155642023346,0.22888160027733842,0.21322470796887846,0.2291526738784324,0.24393870196548945
cifar10_proser_fedavg__split05__seed1__d0.1,cifar10,d0.1,0.1,proser_fedavg,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,5,proser,1.0,-0.1762179273825426,1,0.46151603498542276,0.1983575489576753,0.21218487394957983,0.4260700389105058,561251045,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.28015956388319935,0.2500220729037255,0.2782642730891265,0.31800164861166746
cifar10_proser_fedavg__split05__seed1__d0.1,cifar10,d0.1,0.1,proser_fedavg,bonferroni_delta_over_J,valid simultaneous per-client CP,0.2,0.05,0.05,5,proser,1.0,-0.1762179273825426,1,0.46151603498542276,0.1983575489576753,0.21218487394957983,0.4260700389105058,561251045,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.30080802080170055,0.2699194474430414,0.2988613179854643,0.34007206861710626
cifar10_proser_fedavg__split05__seed1__d0.1,cifar10,d0.1,0.1,proser_fedavg,pooled_CP_intentionally_invalid,invalid for worst-client target,0.2,0.05,0.05,5,proser,1.0,-0.1762179273825426,1,0.46151603498542276,0.1983575489576753,0.21218487394957983,0.4260700389105058,561251045,1000,595,0.595,94,0.094,94,0.094,1.0,0.04114318560758403,0.4376934639104684,0.04005058365758755,0.215441296815934,0.1952428811782139,0.2152778662540058,0.23593446536350648
