semantic_id,dataset,condition,d,arm,client,cert_raw_n,cert_unique_n,test_raw_n,test_unique_n,cert_test_unique_overlap,combined_raw_n,reservoir_unique_n,combined_duplication_rate,unique_accepted_n,unique_accepted_error_n,true_acceptance,true_risk,audit_draw_n
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,0.1,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,218,53,0.21206225680933852,0.24311926605504589,514
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,0.1,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,238,44,0.23151750972762647,0.18487394957983194,514
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,0.1,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,256,53,0.2490272373540856,0.20703125,514
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,0.1,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,232,50,0.22568093385214008,0.21551724137931033,514
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,0.1,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,239,61,0.23249027237354086,0.25523012552301255,514
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,0.5,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,309,57,0.3005836575875486,0.18446601941747573,514
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,0.5,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,313,59,0.3044747081712062,0.18849840255591055,514
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,0.5,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,338,76,0.32879377431906615,0.22485207100591717,514
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,0.5,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,300,52,0.2918287937743191,0.17333333333333334,514
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,0.5,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,321,73,0.3122568093385214,0.22741433021806853,514
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,d5,5.0,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,341,68,0.3317120622568093,0.19941348973607037,514
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,d5,5.0,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,348,60,0.33852140077821014,0.1724137931034483,514
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,d5,5.0,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,381,79,0.37062256809338523,0.2073490813648294,514
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,d5,5.0,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,355,73,0.3453307392996109,0.2056338028169014,514
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,d5,5.0,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,340,73,0.33073929961089493,0.21470588235294116,514
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,d0.1,0.1,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,234,39,0.22762645914396887,0.16666666666666666,514
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,d0.1,0.1,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,221,43,0.21498054474708173,0.19457013574660634,514
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,d0.1,0.1,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,226,37,0.2198443579766537,0.16371681415929204,514
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,d0.1,0.1,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,214,46,0.20817120622568094,0.21495327102803738,514
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,d0.1,0.1,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,238,50,0.23151750972762647,0.21008403361344538,514
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,0.5,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,317,53,0.30836575875486383,0.167192429022082,514
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,0.5,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,333,55,0.3239299610894942,0.16516516516516516,514
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,0.5,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,326,66,0.31712062256809337,0.20245398773006135,514
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,0.5,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,336,64,0.32684824902723736,0.19047619047619047,514
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,0.5,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,348,79,0.33852140077821014,0.22701149425287356,514
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,5.0,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,315,49,0.30642023346303504,0.15555555555555556,514
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,5.0,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,363,72,0.3531128404669261,0.19834710743801653,514
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,5.0,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,356,62,0.3463035019455253,0.17415730337078653,514
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,5.0,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,346,65,0.33657587548638135,0.18786127167630057,514
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,5.0,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,359,70,0.34922178988326846,0.19498607242339833,514
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,d0.1,0.1,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,180,29,0.17509727626459143,0.16111111111111112,514
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,d0.1,0.1,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,150,34,0.14591439688715954,0.22666666666666666,514
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,d0.1,0.1,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,179,23,0.17412451361867703,0.12849162011173185,514
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,d0.1,0.1,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,179,41,0.17412451361867703,0.22905027932960895,514
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,d0.1,0.1,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,180,35,0.17509727626459143,0.19444444444444445,514
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,d0.5,0.5,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,361,83,0.35116731517509725,0.2299168975069252,514
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,d0.5,0.5,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,335,81,0.32587548638132297,0.2417910447761194,514
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,d0.5,0.5,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,344,69,0.3346303501945525,0.2005813953488372,514
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,d0.5,0.5,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,358,87,0.34824902723735407,0.2430167597765363,514
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,d0.5,0.5,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,326,72,0.31712062256809337,0.22085889570552147,514
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,d5,5.0,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,339,58,0.32976653696498054,0.1710914454277286,514
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,d5,5.0,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,338,80,0.32879377431906615,0.23668639053254437,514
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,d5,5.0,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,346,74,0.33657587548638135,0.2138728323699422,514
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,d5,5.0,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,345,80,0.3356031128404669,0.2318840579710145,514
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,d5,5.0,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,325,63,0.316147859922179,0.19384615384615383,514
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,d0.1,0.1,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,204,43,0.19844357976653695,0.2107843137254902,514
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,d0.1,0.1,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,236,52,0.22957198443579765,0.22033898305084745,514
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,d0.1,0.1,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,234,51,0.22762645914396887,0.21794871794871795,514
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,d0.1,0.1,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,230,48,0.2237354085603113,0.20869565217391303,514
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,d0.1,0.1,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,219,53,0.2130350194552529,0.2420091324200913,514
cifar100_proser_fedavg__split01__seed3__d0.5,cifar100,d0.5,0.5,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,302,59,0.29377431906614787,0.19536423841059603,514
cifar100_proser_fedavg__split01__seed3__d0.5,cifar100,d0.5,0.5,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,303,59,0.29474708171206226,0.19471947194719472,514
cifar100_proser_fedavg__split01__seed3__d0.5,cifar100,d0.5,0.5,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,315,57,0.30642023346303504,0.18095238095238095,514
cifar100_proser_fedavg__split01__seed3__d0.5,cifar100,d0.5,0.5,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,304,60,0.29571984435797666,0.19736842105263158,514
cifar100_proser_fedavg__split01__seed3__d0.5,cifar100,d0.5,0.5,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,299,52,0.2908560311284047,0.17391304347826086,514
cifar100_proser_fedavg__split01__seed3__d5.0,cifar100,d5,5.0,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,311,48,0.3025291828793774,0.15434083601286175,514
cifar100_proser_fedavg__split01__seed3__d5.0,cifar100,d5,5.0,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,335,68,0.32587548638132297,0.20298507462686566,514
cifar100_proser_fedavg__split01__seed3__d5.0,cifar100,d5,5.0,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,338,62,0.32879377431906615,0.1834319526627219,514
cifar100_proser_fedavg__split01__seed3__d5.0,cifar100,d5,5.0,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,319,49,0.3103112840466926,0.1536050156739812,514
cifar100_proser_fedavg__split01__seed3__d5.0,cifar100,d5,5.0,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,308,53,0.29961089494163423,0.17207792207792208,514
cifar100_proser_fedavg__split01__seed4__d0.1,cifar100,d0.1,0.1,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,164,32,0.15953307392996108,0.1951219512195122,514
