semantic_id,dataset,condition,split,repetition,S_minus_B,H_minus_S,H_minus_B
cifar10_proser_fedavg__split05__seed3__d0.1,cifar10,d0.1,5,3,0.008113999826304785,0.0,0.008113999826304785
cifar10_proser_fedavg__split05__seed3__d0.5,cifar10,d0.5,5,3,0.010211760709544826,0.0,0.010211760709544826
cifar10_proser_fedavg__split05__seed3__d5.0,cifar10,d5,5,3,0.010350716878082533,0.0777282980645671,0.08807901494264964
cifar10_proser_fedavg__split05__seed4__d0.1,cifar10,d0.1,5,4,0.0,0.0,0.0
cifar10_proser_fedavg__split05__seed4__d0.5,cifar10,d0.5,5,4,0.009336447852203278,0.0,0.009336447852203278
cifar10_proser_fedavg__split05__seed4__d5.0,cifar10,d5,5,4,0.00855482906599414,0.0,0.00855482906599414
cifar10_proser_fedavg__split06__seed0__d0.1,cifar10,d0.1,6,0,0.0,0.0,0.0
cifar10_proser_fedavg__split06__seed0__d0.5,cifar10,d0.5,6,0,0.0889210237552595,0.0,0.0889210237552595
cifar10_proser_fedavg__split06__seed0__d5.0,cifar10,d5,6,0,0.010635771339440991,0.0,0.010635771339440991
cifar10_proser_fedavg__split06__seed1__d0.1,cifar10,d0.1,6,1,0.19142066384342218,0.0,0.19142066384342218
cifar10_proser_fedavg__split06__seed1__d0.5,cifar10,d0.5,6,1,0.010566790369610224,0.0,0.010566790369610224
cifar10_proser_fedavg__split06__seed1__d5.0,cifar10,d5,6,1,0.010869550061261724,0.0,0.010869550061261724
cifar10_proser_fedavg__split06__seed2__d0.1,cifar10,d0.1,6,2,0.0,0.0,0.0
cifar10_proser_fedavg__split06__seed2__d0.5,cifar10,d0.5,6,2,0.009608627196260544,0.13313623241429906,0.1427448596105596
cifar10_proser_fedavg__split06__seed2__d5.0,cifar10,d5,6,2,0.010622315855283837,0.0,0.010622315855283837
cifar10_proser_fedavg__split06__seed3__d0.1,cifar10,d0.1,6,3,0.0,0.0,0.0
cifar10_proser_fedavg__split06__seed3__d0.5,cifar10,d0.5,6,3,0.008149554752916066,0.0,0.008149554752916066
cifar10_proser_fedavg__split06__seed3__d5.0,cifar10,d5,6,3,0.0,0.0,0.0
cifar10_proser_fedavg__split06__seed4__d0.1,cifar10,d0.1,6,4,0.0,0.0,0.0
cifar10_proser_fedavg__split06__seed4__d0.5,cifar10,d0.5,6,4,0.0,0.0,0.0
cifar10_proser_fedavg__split06__seed4__d5.0,cifar10,d5,6,4,0.0,0.0,0.0
cifar10_proser_fedavg__split07__seed0__d0.1,cifar10,d0.1,7,0,0.0,0.0,0.0
cifar10_proser_fedavg__split07__seed0__d0.5,cifar10,d0.5,7,0,0.0,0.0,0.0
cifar10_proser_fedavg__split07__seed0__d5.0,cifar10,d5,7,0,0.0,0.0,0.0
cifar10_proser_fedavg__split07__seed1__d0.1,cifar10,d0.1,7,1,0.0,0.0,0.0
cifar10_proser_fedavg__split07__seed1__d0.5,cifar10,d0.5,7,1,0.06911340878955945,0.0,0.06911340878955945
cifar10_proser_fedavg__split07__seed1__d5.0,cifar10,d5,7,1,0.0,0.0,0.0
