semantic_id,dataset,condition,client,reservoir_n,draw_n,unique_draw_indices,duplication_rate,max_multiplicity,draw_index_sha256
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,d0.1,2,514,514,325,0.36770428015564205,5,763f3a74e59b05996b4519c5e9b6ca0006d664bee7e2d90289b6967d808236bd
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,d0.1,3,514,514,334,0.35019455252918286,5,0cb1fa2b02be17ca58a00a6c335521d8e60e01e8837d3963fc1d041044afc3a2
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,d0.1,4,514,514,329,0.3599221789883269,5,2ffe7a65d7320d16890906d1404d141babc13913b048b07953705f159aa2d720
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,0,514,514,326,0.36575875486381326,5,e00e72fd94094713e175f82394b2abb9768c48961397ef21519b17c8d54f6ebf
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,1,514,514,322,0.3735408560311284,6,31a33b8c066831416d809a6cd1589926346b2e8a09cdad55bbf555505bc1be5b
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,2,514,514,325,0.36770428015564205,5,763f3a74e59b05996b4519c5e9b6ca0006d664bee7e2d90289b6967d808236bd
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,3,514,514,334,0.35019455252918286,5,0cb1fa2b02be17ca58a00a6c335521d8e60e01e8837d3963fc1d041044afc3a2
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,4,514,514,329,0.3599221789883269,5,2ffe7a65d7320d16890906d1404d141babc13913b048b07953705f159aa2d720
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,0,514,514,326,0.36575875486381326,5,e00e72fd94094713e175f82394b2abb9768c48961397ef21519b17c8d54f6ebf
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,1,514,514,322,0.3735408560311284,6,31a33b8c066831416d809a6cd1589926346b2e8a09cdad55bbf555505bc1be5b
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,2,514,514,325,0.36770428015564205,5,763f3a74e59b05996b4519c5e9b6ca0006d664bee7e2d90289b6967d808236bd
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,3,514,514,334,0.35019455252918286,5,0cb1fa2b02be17ca58a00a6c335521d8e60e01e8837d3963fc1d041044afc3a2
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,4,514,514,329,0.3599221789883269,5,2ffe7a65d7320d16890906d1404d141babc13913b048b07953705f159aa2d720
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,d0.1,0,514,514,333,0.35214007782101164,5,b6bc1be15c0ff0704bca60449eea9a8b7565af1640d10e7bf9a04ad19d0d3b62
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,d0.1,1,514,514,319,0.37937743190661477,5,57da981c764347aac8680ad3551389019391fa169e8bf56cf5eb75666c115ae2
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,d0.1,2,514,514,327,0.3638132295719845,6,8e4cf7b092de4c79fbce2b2b53843f7e5a8fdfd5d39c72274630cb2a30f45f84
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,d0.1,3,514,514,321,0.3754863813229572,6,214fc72742a90a5f84efe1b3c275ee394c915743b3db3369879e136f7dc562e9
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,d0.1,4,514,514,327,0.3638132295719845,5,81507d0cf74b1285b83b35301dc24595cb583031ac2d129381a94e6424901e6f
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,d0.5,0,514,514,333,0.35214007782101164,5,b6bc1be15c0ff0704bca60449eea9a8b7565af1640d10e7bf9a04ad19d0d3b62
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,d0.5,1,514,514,319,0.37937743190661477,5,57da981c764347aac8680ad3551389019391fa169e8bf56cf5eb75666c115ae2
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,d0.5,2,514,514,327,0.3638132295719845,6,8e4cf7b092de4c79fbce2b2b53843f7e5a8fdfd5d39c72274630cb2a30f45f84
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,d0.5,3,514,514,321,0.3754863813229572,6,214fc72742a90a5f84efe1b3c275ee394c915743b3db3369879e136f7dc562e9
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,d0.5,4,514,514,327,0.3638132295719845,5,81507d0cf74b1285b83b35301dc24595cb583031ac2d129381a94e6424901e6f
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,d5,0,514,514,333,0.35214007782101164,5,b6bc1be15c0ff0704bca60449eea9a8b7565af1640d10e7bf9a04ad19d0d3b62
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,d5,1,514,514,319,0.37937743190661477,5,57da981c764347aac8680ad3551389019391fa169e8bf56cf5eb75666c115ae2
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,d5,2,514,514,327,0.3638132295719845,6,8e4cf7b092de4c79fbce2b2b53843f7e5a8fdfd5d39c72274630cb2a30f45f84
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,d5,3,514,514,321,0.3754863813229572,6,214fc72742a90a5f84efe1b3c275ee394c915743b3db3369879e136f7dc562e9
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,d5,4,514,514,327,0.3638132295719845,5,81507d0cf74b1285b83b35301dc24595cb583031ac2d129381a94e6424901e6f
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,d0.1,0,514,514,329,0.3599221789883269,6,e8cbfd320ef108d426fc8604d02f99bba7fd0db84286890ae1e6dadc47e7be0f
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,d0.1,1,514,514,332,0.35408560311284043,4,448d7be435e4efef6146360a3f46df92a254864b20c4fc2a4a6e5e1b5dce0bc0
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,d0.1,2,514,514,331,0.3560311284046692,5,1402a82368e948317036eb18bbb7454546642fac3f8926a3ef136531f65822cc
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,d0.1,3,514,514,328,0.3618677042801557,4,205f6cf61660353e093ea1df3e13acf5919900e9afd3ae208577aab9f0a078f1
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,d0.1,4,514,514,323,0.3715953307392996,4,a56a894339ae9d0a62cc7187ff56e65c042d41348c5b0d211c46c57afe1c54d4
cifar100_proser_fedavg__split01__seed3__d0.5,cifar100,d0.5,0,514,514,329,0.3599221789883269,6,e8cbfd320ef108d426fc8604d02f99bba7fd0db84286890ae1e6dadc47e7be0f
cifar100_proser_fedavg__split01__seed3__d0.5,cifar100,d0.5,1,514,514,332,0.35408560311284043,4,448d7be435e4efef6146360a3f46df92a254864b20c4fc2a4a6e5e1b5dce0bc0
cifar100_proser_fedavg__split01__seed3__d0.5,cifar100,d0.5,2,514,514,331,0.3560311284046692,5,1402a82368e948317036eb18bbb7454546642fac3f8926a3ef136531f65822cc
cifar100_proser_fedavg__split01__seed3__d0.5,cifar100,d0.5,3,514,514,328,0.3618677042801557,4,205f6cf61660353e093ea1df3e13acf5919900e9afd3ae208577aab9f0a078f1
cifar100_proser_fedavg__split01__seed3__d0.5,cifar100,d0.5,4,514,514,323,0.3715953307392996,4,a56a894339ae9d0a62cc7187ff56e65c042d41348c5b0d211c46c57afe1c54d4
cifar100_proser_fedavg__split01__seed3__d5.0,cifar100,d5,0,514,514,329,0.3599221789883269,6,e8cbfd320ef108d426fc8604d02f99bba7fd0db84286890ae1e6dadc47e7be0f
cifar100_proser_fedavg__split01__seed3__d5.0,cifar100,d5,1,514,514,332,0.35408560311284043,4,448d7be435e4efef6146360a3f46df92a254864b20c4fc2a4a6e5e1b5dce0bc0
cifar100_proser_fedavg__split01__seed3__d5.0,cifar100,d5,2,514,514,331,0.3560311284046692,5,1402a82368e948317036eb18bbb7454546642fac3f8926a3ef136531f65822cc
cifar100_proser_fedavg__split01__seed3__d5.0,cifar100,d5,3,514,514,328,0.3618677042801557,4,205f6cf61660353e093ea1df3e13acf5919900e9afd3ae208577aab9f0a078f1
cifar100_proser_fedavg__split01__seed3__d5.0,cifar100,d5,4,514,514,323,0.3715953307392996,4,a56a894339ae9d0a62cc7187ff56e65c042d41348c5b0d211c46c57afe1c54d4
cifar100_proser_fedavg__split01__seed4__d0.1,cifar100,d0.1,0,514,514,327,0.3638132295719845,5,42258e3a3a254bbe820529429be1c4af8d431261308dcafdbf072edc703b8997
cifar100_proser_fedavg__split01__seed4__d0.1,cifar100,d0.1,1,514,514,321,0.3754863813229572,5,d332ff2e9bb1d69217683a82ec2138ec4a555c011796b1ff768a8572677ee856
cifar100_proser_fedavg__split01__seed4__d0.1,cifar100,d0.1,2,514,514,326,0.36575875486381326,4,1a9352d87a17f3032c018875b510121d33d2786387e17784644288fdff68e1ce
cifar100_proser_fedavg__split01__seed4__d0.1,cifar100,d0.1,3,514,514,336,0.3463035019455253,5,d22b40859100f137028f08b311ce3d96539629b1ce64a3180bf7ce1ab9a3c352
cifar100_proser_fedavg__split01__seed4__d0.1,cifar100,d0.1,4,514,514,325,0.36770428015564205,5,f9bb28839d42179b44efa7307bd18069ad14f56cb6c540edb2129fc982bd6313
cifar100_proser_fedavg__split01__seed4__d0.5,cifar100,d0.5,0,514,514,327,0.3638132295719845,5,42258e3a3a254bbe820529429be1c4af8d431261308dcafdbf072edc703b8997
cifar100_proser_fedavg__split01__seed4__d0.5,cifar100,d0.5,1,514,514,321,0.3754863813229572,5,d332ff2e9bb1d69217683a82ec2138ec4a555c011796b1ff768a8572677ee856
cifar100_proser_fedavg__split01__seed4__d0.5,cifar100,d0.5,2,514,514,326,0.36575875486381326,4,1a9352d87a17f3032c018875b510121d33d2786387e17784644288fdff68e1ce
cifar100_proser_fedavg__split01__seed4__d0.5,cifar100,d0.5,3,514,514,336,0.3463035019455253,5,d22b40859100f137028f08b311ce3d96539629b1ce64a3180bf7ce1ab9a3c352
